permno,duration,end_year,start_year
63474,7,1983,1975
51836,1,1983,1979
41355,4,1983,1969
20969,1,1983,1981
28118,6,1983,1975
50738,2,1983,1982
12546,12,1983,1964
11850,2,1983,1975
25769,9,1983,1968
46228,1,1983,1982
62519,1,1984,1982
46923,5,1984,1976
55897,3,1984,1981
33196,3,1984,1981
17911,1,1984,1984
40387,5,1984,1968
27677,2,1984,1982
64493,2,1984,1983
54500,6,1984,1974
47204,7,1984,1970
15721,1,1984,1982
23720,8,1984,1963
24272,1,1984,1975
45794,11,1984,1970
54501,1,1984,1981
48494,1,1984,1981
48071,4,1984,1975
24563,14,1984,1963
20889,2,1984,1982
23245,4,1984,1978
58018,4,1984,1978
77527,3,1984,1980
20467,1,1984,1983
40782,3,1984,1966
62842,1,1984,1983
44872,2,1984,1981
79573,4,1984,1977
79864,1,1984,1984
63562,1,1984,1982
58464,7,1984,1974
83038,4,1984,1975
28426,1,1984,1983
49285,5,1984,1978
25232,2,1984,1976
31764,2,1984,1975
61233,8,1984,1975
45970,6,1984,1969
61348,7,1984,1977
10604,7,1984,1968
32695,5,1984,1979
12213,2,1984,1981
77551,7,1984,1976
26382,13,1984,1969
65752,1,1984,1983
79581,5,1984,1974
72603,3,1984,1981
21514,7,1984,1966
56805,5,1984,1975
51262,1,1984,1983
42551,9,1984,1974
21207,1,1984,1975
83110,1,1984,1982
75628,1,1984,1982
64549,7,1984,1978
33179,2,1984,1980
26075,4,1984,1972
15763,10,1984,1961
18550,8,1984,1968
56485,8,1984,1975
14891,1,1984,1982
45153,1,1984,1982
30358,2,1984,1982
24715,8,1984,1963
22534,1,1984,1982
25508,2,1984,1981
14357,2,1984,1975
45495,6,1984,1975
63642,1,1984,1983
28345,3,1984,1975
37399,4,1984,1977
43668,9,1984,1974
63749,2,1984,1982
63829,1,1984,1983
45524,2,1984,1970
22613,4,1984,1963
27940,7,1984,1972
61444,2,1984,1975
54966,1,1984,1982
34825,1,1984,1981
59686,9,1984,1974
63319,8,1984,1976
